Model,Split,mIoU,Dice,PixelAcc,ClsAcc,Precision,Recall,F1
unet,Train,0.8525,0.9141,0.9353,0.8092,0.8123,0.809,0.8085
unet,Val,0.8194,0.8911,0.9193,0.5794,0.5915,0.579,0.5802
unet,Test,0.8271,0.8983,0.9228,0.5816,0.594,0.5814,0.5805
unet_aug,Train,0.8928,0.9405,0.9556,0.9998,0.9998,0.9998,0.9998
unet_aug,Val,0.8454,0.9093,0.9327,0.7004,0.7032,0.6997,0.6975
unet_aug,Test,0.8511,0.914,0.9363,0.6952,0.6997,0.695,0.6922
attn,Train,0.8495,0.9126,0.9342,0.8067,0.8135,0.8066,0.8067
attn,Val,0.8166,0.8903,0.9187,0.5875,0.5956,0.5871,0.5868
attn,Test,0.8259,0.8974,0.9228,0.5717,0.5789,0.5715,0.5659
attn_aug,Train,0.8959,0.9424,0.9571,1.0,1.0,1.0,1.0
attn_aug,Val,0.8478,0.9109,0.9337,0.6995,0.7055,0.6989,0.6984
attn_aug,Test,0.8529,0.9153,0.937,0.7024,0.7052,0.7023,0.6971
